Day,Name,Solution
1,Candies,https://scrimba.com/scrim/co0a64754be538039f0f7561d
2,Deposit Profit,https://scrimba.com/scrim/co1634148af237abe36bd3b48
3,Chunky Monkey,https://scrimba.com/scrim/co1784708af85897a1e657e17
4,Century from year,https://scrimba.com/scrim/co2f447838bce36b29c1babf7
5,Reverse a string,https://scrimba.com/scrim/co4b84d0d934f77c4c8d0b49e
6,Sort by length,https://scrimba.com/scrim/co51b4537a82ef1d8b2b8966e
7,Count vowel consonant,https://scrimba.com/scrim/co8cf4a59b3a0e6fa5c12bbfa
8,Rolling dice,https://scrimba.com/scrim/cob0240939633eaf66e463df8
9,Sum Odd Fibonacci Numbers,https://scrimba.com/scrim/coc994da6b0c09200edef57f3
10,Adjacent Elements Product,https://scrimba.com/scrim/co903470188cc4c6d02ff187b
11,Avoid Obstacles,https://scrimba.com/scrim/co5be45ec8086deae65397306
12,Valid Time,https://scrimba.com/scrim/co5e24ed591c8555aacc5162c
13,Extract Each Kht,https://scrimba.com/scrim/co5c744d4a5ea3c25842f2d4c
14,Maximal Adjacent Difference,https://scrimba.com/scrim/co97e4b8691db5cae1e7fbc69
15,JavaScript Carousel,https://scrimba.com/scrim/co14642ceab2ff61fede608e5
16,Insert Dashes,https://scrimba.com/scrim/co60549588b65d210e3c85830
17,Different symbols naive,https://scrimba.com/scrim/co582468aae63a96fb76e7bb6
18,Array previous less,https://scrimba.com/scrim/co60f4420a640781f535eba00
19,Alphabet Subsequence,https://scrimba.com/scrim/cof2d4787b30eca1893c059ad
20,Domain Type,https://scrimba.com/scrim/cod29464384a19655ffe70f0f
21,Sum of 2,https://scrimba.com/scrim/codce49d48a6a1fe3e221f4f7
22,-,-
23,-,-
24,-,-
